技能别名主键,标准技能名称,技能别名,技能大组,技能子组,技能性质,匹配策略,词典置信度,来源依据,备注,别名标准化键,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,是否AI核心技能,同名候选技能数,别名映射状态
BM01547,生产管理,生产管理,专业知识与业务流程,明确业务知识与专业流程,专业知识/方法流程,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,生产管理,JN0004,生产管理,职业职能与业务活动,20.0,安全环保与职业健康,否,1,唯一映射
BM00179,生成式人工智能,AIGC,人工智能与算法,生成式人工智能,专业技能/模型与应用技术,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,依据留出样本审计拆分生成式人工智能与大语言模型口径。,aigc,JN0586,生成式人工智能,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01061,生成式人工智能,GenAI,人工智能与算法,生成式人工智能,专业技能/模型与应用技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,genai,JN0586,生成式人工智能,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01060,生成式人工智能,Generative AI,人工智能与算法,生成式人工智能,专业技能/模型与应用技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,generativeai,JN0586,生成式人工智能,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM00178,生成式人工智能,生成式AI,人工智能与算法,生成式人工智能,专业技能/模型与应用技术,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,依据留出样本审计拆分生成式人工智能与大语言模型口径。,生成式ai,JN0586,生成式人工智能,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01059,生成式人工智能,生成式人工智能,人工智能与算法,生成式人工智能,专业技能/模型与应用技术,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,生成式人工智能,JN0586,生成式人工智能,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM00553,生物信息学,bioinformatics,医药医疗生命科学,医药医疗生命科学,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,bioinformatics,JN0736,生物信息学,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM00552,生物信息学,生物信息学,医药医疗生命科学,医药医疗生命科学,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,生物信息学,JN0736,生物信息学,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM01742,用友ERP,用友ERP,,,,,,标准技能名称,,用友erp,JN0166,用友ERP（办公软件与通用数字工具）,方法、标准与流程,12.0,财务会计与税务管理,否,1,唯一映射
BM01250,电力电子技术,电力电子技术,机械电子电气制造,电力电子,专业知识,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电力电子技术,JN0737,电力电子技术,专业知识与行业经验,9.0,工业自动化与电气控制,否,1,唯一映射
BM01251,电力电子技术,电力电子知识,机械电子电气制造,电力电子,专业知识,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电力电子知识,JN0737,电力电子技术,专业知识与行业经验,9.0,工业自动化与电气控制,否,1,唯一映射
BM00586,电力系统,电力工程,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,电力工程,JN0702,电力系统,专业知识与行业经验,9.0,工业自动化与电气控制,否,1,唯一映射
BM00585,电力系统,电力系统,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,电力系统,JN0702,电力系统,专业知识与行业经验,9.0,工业自动化与电气控制,否,1,唯一映射
BM01684,电化学知识,电化学相关专业知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电化学相关专业知识,JN0662,电化学知识,工具软件与技术平台,18.0,医药研发与药事管理,否,1,唯一映射
BM01683,电化学知识,电化学知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电化学知识,JN0662,电化学知识,工具软件与技术平台,18.0,医药研发与药事管理,否,1,唯一映射
BM00343,电商运营,京东运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,京东运营,JN0203,电商运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00342,电商运营,天猫运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,天猫运营,JN0203,电商运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00341,电商运营,淘宝运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,淘宝运营,JN0203,电商运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00340,电商运营,电商运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,电商运营,JN0203,电商运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM01601,电工作业资格,低压电工证,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,低压电工证,JN0744,电工作业资格,证书与资质,9.0,工业自动化与电气控制,否,1,唯一映射
BM01817,电工作业资格,电工作业资格,,,,,,标准技能名称,,电工作业资格,JN0744,电工作业资格,证书与资质,9.0,工业自动化与电气控制,否,1,唯一映射
BM01602,电工作业资格,电工特种作业证,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电工特种作业证,JN0744,电工作业资格,证书与资质,9.0,工业自动化与电气控制,否,1,唯一映射
BM01599,电工作业资格,电工证,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电工证,JN0744,电工作业资格,证书与资质,9.0,工业自动化与电气控制,否,1,唯一映射
BM01603,电工作业资格,高压入网许可,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,高压入网许可,JN0744,电工作业资格,证书与资质,9.0,工业自动化与电气控制,否,1,唯一映射
BM01600,电工作业资格,高压电工证,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,高压电工证,JN0744,电工作业资格,证书与资质,9.0,工业自动化与电气控制,否,1,唯一映射
BM01576,电工知识,电工基础知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电工基础知识,JN0426,电工知识,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM01578,电工知识,电工技能,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电工技能,JN0426,电工知识,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM01575,电工知识,电工知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电工知识,JN0426,电工知识,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM01577,电工知识,维修电工专业知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,维修电工专业知识,JN0426,电工知识,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM01582,电气设备操作,操作电器设备,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,操作电器设备,JN0644,电气设备操作,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM01581,电气设备操作,电气设备操作,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电气设备操作,JN0644,电气设备操作,工具软件与技术平台,9.0,工业自动化与电气控制,否,1,唯一映射
BM00410,电气设计,电气控制,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,电气控制,JN0137,电气设计,方法、标准与流程,9.0,工业自动化与电气控制,否,1,唯一映射
BM00409,电气设计,电气设计,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,电气设计,JN0137,电气设计,方法、标准与流程,9.0,工业自动化与电气控制,否,1,唯一映射
BM00564,电池材料,正极材料,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,正极材料,JN0726,电池材料,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM00563,电池材料,电池材料,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,电池材料,JN0726,电池材料,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM00565,电池材料,负极材料,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,负极材料,JN0726,电池材料,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM01014,电脑操作,电脑操作,办公软件与通用数字工具,通用数字技能,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电脑操作,JN0090,电脑操作,具体专业技能,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM01015,电脑操作,计算机操作能力,办公软件与通用数字工具,通用数字技能,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,计算机操作能力,JN0090,电脑操作,具体专业技能,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM01253,电路原理,电子电路原理,机械电子电气制造,电子电路,专业知识,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电子电路原理,JN0709,电路原理,专业知识与行业经验,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01252,电路原理,电路原理,机械电子电气制造,电子电路,专业知识,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,电路原理,JN0709,电路原理,专业知识与行业经验,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00422,电路设计,数字电路,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,数字电路,JN0079,电路设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00421,电路设计,模拟电路,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,模拟电路,JN0079,电路设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00420,电路设计,电路设计,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,电路设计,JN0079,电路设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01695,病虫害防治,病虫害防治,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,病虫害防治,JN0624,病虫害防治,工具软件与技术平台,16.0,建筑施工与工程造价,否,1,唯一映射
BM01696,病虫害防治,草坪病虫害防治,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,草坪病虫害防治,JN0624,病虫害防治,工具软件与技术平台,16.0,建筑施工与工程造价,否,1,唯一映射
BM00961,目标管理,目标管理,管理与领导能力,目标管理,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,目标管理,JN0823,目标管理,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00960,目标管理,目标管理能力,管理与领导能力,目标管理,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,目标管理能力,JN0823,目标管理,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00338,直播运营,直播运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,直播运营,JN0436,直播运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00339,直播运营,短视频运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,短视频运营,JN0436,直播运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM01802,眼科检查,眼科检查,,,,,,标准技能名称,,眼科检查,JN0669,眼科检查,工具软件与技术平台,18.0,医药研发与药事管理,否,1,唯一映射
BM01632,眼科检查,眼科检查技能,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,眼科检查技能,JN0669,眼科检查,工具软件与技术平台,18.0,医药研发与药事管理,否,1,唯一映射
BM01631,眼科检查,眼科检查知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,眼科检查知识,JN0669,眼科检查,工具软件与技术平台,18.0,医药研发与药事管理,否,1,唯一映射
BM00280,知识产权,专利,法律合规知识产权,法律合规知识产权,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,专利,JN0694,知识产权,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM00281,知识产权,商标,法律合规知识产权,法律合规知识产权,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,商标,JN0694,知识产权,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM00282,知识产权,版权,法律合规知识产权,法律合规知识产权,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,版权,JN0694,知识产权,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM00279,知识产权,知识产权,法律合规知识产权,法律合规知识产权,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,知识产权,JN0694,知识产权,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM00175,知识图谱,图谱,人工智能与算法,人工智能与算法,专业技能/方法流程,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,图谱,JN0430,知识图谱,方法、标准与流程,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00174,知识图谱,知识图谱,人工智能与算法,人工智能与算法,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,知识图谱,JN0430,知识图谱,方法、标准与流程,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00571,石油化工,炼化,化工材料能源环保,化工材料能源环保,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,炼化,JN0724,石油化工,专业知识与行业经验,20.0,安全环保与职业健康,否,1,唯一映射
BM00570,石油化工,石油化工,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,石油化工,JN0724,石油化工,专业知识与行业经验,20.0,安全环保与职业健康,否,1,唯一映射
BM00583,碳管理,碳核算,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,碳核算,JN0629,碳管理,具体专业技能,20.0,安全环保与职业健康,否,1,唯一映射
BM00582,碳管理,碳管理,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,碳管理,JN0629,碳管理,具体专业技能,20.0,安全环保与职业健康,否,1,唯一映射
BM00584,碳管理,节能评估,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,节能评估,JN0629,碳管理,具体专业技能,20.0,安全环保与职业健康,否,1,唯一映射
BM01566,示波器使用,示波器,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,示波器,JN0206,示波器使用,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01730,示波器使用,示波器使用,,,,,,标准技能名称,,示波器使用,JN0206,示波器使用,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM00308,社保公积金,五险一金,人力资源行政管理,人力资源行政管理,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,五险一金,JN0324,社保公积金,方法、标准与流程,17.0,人力资源与行政管理,否,1,唯一映射
BM00307,社保公积金,社保公积金,人力资源行政管理,人力资源行政管理,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,社保公积金,JN0324,社保公积金,方法、标准与流程,17.0,人力资源与行政管理,否,1,唯一映射
BM00337,社群运营,用户运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,用户运营,JN0225,社群运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00336,社群运营,社群运营,市场销售电商运营,市场销售电商运营,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,社群运营,JN0225,社群运营,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00237,税务筹划,增值税,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,增值税,JN0159,税务筹划,具体专业技能,12.0,财务会计与税务管理,否,1,唯一映射
BM00235,税务筹划,税务筹划,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,税务筹划,JN0159,税务筹划,具体专业技能,12.0,财务会计与税务管理,否,1,唯一映射
BM00236,税务筹划,纳税申报,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,纳税申报,JN0159,税务筹划,具体专业技能,12.0,财务会计与税务管理,否,1,唯一映射
BM01645,竞品知识,竞争产品知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,竞争产品知识,JN0648,竞品知识,工具软件与技术平台,2.0,组织协调与商业执行,否,1,唯一映射
BM01644,竞品知识,竞品知识,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,竞品知识,JN0648,竞品知识,工具软件与技术平台,2.0,组织协调与商业执行,否,1,唯一映射
BM00152,等保,等保,数字技术,运维云与安全,专业技能/工具软件,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,等保,JN0349,等保,工具软件与技术平台,22.0,网络运维与信息安全,否,1,唯一映射
BM00153,等保,等级保护,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,等级保护,JN0349,等保,工具软件与技术平台,22.0,网络运维与信息安全,否,1,唯一映射
BM00933,策划能力,方案策划能力,认知与问题解决,策划构思,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,方案策划能力,JN0797,策划能力,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00932,策划能力,策划能力,认知与问题解决,策划构思,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,策划能力,JN0797,策划能力,非技术性能力,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00190,算法建模,模型训练,人工智能与算法,人工智能与算法,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,模型训练,JN0413,算法建模,方法、标准与流程,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00191,算法建模,模型部署,人工智能与算法,人工智能与算法,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,模型部署,JN0413,算法建模,方法、标准与流程,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00189,算法建模,算法建模,人工智能与算法,人工智能与算法,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,算法建模,JN0413,算法建模,方法、标准与流程,15.0,人工智能与数据挖掘,否,1,唯一映射
BM00811,管理能力,管理能力,管理与领导能力,综合管理,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,管理能力,JN0786,管理能力,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00812,管理能力,综合管理能力,管理与领导能力,综合管理,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,综合管理能力,JN0786,管理能力,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00432,精益生产,Lean,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,lean,JN0205,精益生产,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00434,精益生产,Six Sigma,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,sixsigma,JN0205,精益生产,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00431,精益生产,精益生产,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,精益生产,JN0205,精益生产,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00838,系统思维,体系化思维,认知与问题解决,系统思维,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,体系化思维,JN0818,系统思维,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00837,系统思维,系统思维,认知与问题解决,系统思维,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,系统思维,JN0818,系统思维,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM00839,系统思维,结构化思维,认知与问题解决,系统思维,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,结构化思维,JN0818,系统思维,非技术性能力,1.0,表达沟通与通用办公协作,否,1,唯一映射
BM01668,线切割加工,线切割,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,线切割,JN0551,线切割加工,工具软件与技术平台,8.0,机械设计与制造,否,1,唯一映射
BM01670,线切割加工,线切割加工,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,线切割加工,JN0551,线切割加工,工具软件与技术平台,8.0,机械设计与制造,否,1,唯一映射
BM01669,线切割加工,线切割器,零技能岗位审计扩展,明确工具知识流程与资格,专业技能/知识与工具,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,线切割器,JN0551,线切割加工,工具软件与技术平台,8.0,机械设计与制造,否,1,唯一映射
BM00679,组织协调,协调能力,管理与领导能力,组织协调,非技术性技能,soft_phrase,中,公开技能分类框架+招聘文本经验+本项目职业匹配经验,非技术性技能单独统计；仅在任职要求或带能力限定语的语境中识别。,协调能力,JN0773,组织协调,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00678,组织协调,组织协调,管理与领导能力,组织协调,非技术性技能,soft_phrase,中,公开技能分类框架+招聘文本经验+本项目职业匹配经验,非技术性技能单独统计；仅在任职要求或带能力限定语的语境中识别。,组织协调,JN0773,组织协调,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00803,组织协调,组织协调能力,管理与领导能力,组织协调,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,组织协调能力,JN0773,组织协调,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
BM00804,组织协调,组织能力,管理与领导能力,组织协调,非技术性技能,soft_phrase,高,招聘要求常用表达+本项目样本归纳+通用能力分类框架,仅在任职要求或带能力限定语的语境中识别；不从岗位标题推断。,组织能力,JN0773,组织协调,非技术性能力,2.0,组织协调与商业执行,否,1,唯一映射
